% sa_1 sa_2 sa_3 sa_4 sa_5 sa_6 sa_7 sa_8 sa_9 sa_10 sa_11 sa_12 sa_13
6.3422e-02 6.4525e-02 7.7094e-02 1.1507e-01 1.6167e-01 1.2219e-01 6.5948e-02 3.0426e-02 1.8139e-02 1.2566e-02 9.3771e-03 5.9310e-03 4.0457e-03
1.1167e-01 1.1319e-01 1.2909e-01 1.9274e-01 3.1075e-01 2.5359e-01 1.3245e-01 6.1858e-02 3.6727e-02 2.5572e-02 1.8970e-02 1.1419e-02 7.3561e-03
1.4296e-01 1.4263e-01 1.4437e-01 1.9982e-01 3.4980e-01 3.8480e-01 1.9038e-01 7.7425e-02 3.9422e-02 2.3865e-02 1.4093e-02 8.2915e-03 5.8917e-03
2.9411e-01 2.9776e-01 3.3302e-01 5.0113e-01 7.8830e-01 4.8237e-01 2.4663e-01 1.1292e-01 6.7606e-02 4.8310e-02 3.5740e-02 1.9156e-02 1.1429e-02
1.8912e-01 1.9231e-01 2.2607e-01 3.4162e-01 5.0143e-01 3.3796e-01 1.7827e-01 8.1317e-02 4.9122e-02 3.4089e-02 2.5070e-02 1.4047e-02 8.6855e-03
3.7333e-02 3.8005e-02 4.5577e-02 6.5288e-02 7.8664e-02 4.5607e-02 2.1978e-02 9.7918e-03 5.8494e-03 4.2498e-03 3.2789e-03 2.4475e-03 1.8265e-03
6.4139e-02 6.5133e-02 7.7265e-02 1.1539e-01 1.7147e-01 1.1984e-01 5.6743e-02 2.4395e-02 1.4214e-02 9.8967e-03 7.4569e-03 5.0786e-03 3.6071e-03
1.0526e-01 1.0668e-01 1.2219e-01 1.8186e-01 2.9418e-01 2.4518e-01 1.2946e-01 6.0199e-02 3.6432e-02 2.5734e-02 1.9045e-02 1.1417e-02 7.3124e-03
1.6153e-01 1.6299e-01 1.7895e-01 2.6043e-01 4.2433e-01 3.1572e-01 1.4226e-01 5.5337e-02 3.0367e-02 2.0758e-02 1.5467e-02 9.7585e-03 6.6914e-03
2.7770e-01 2.8119e-01 3.1606e-01 4.7037e-01 7.2526e-01 4.5319e-01 2.2868e-01 1.0372e-01 6.3399e-02 4.5684e-02 3.3810e-02 1.8252e-02 1.0955e-02
1.8892e-01 1.9197e-01 2.2459e-01 3.4314e-01 5.0584e-01 3.3718e-01 1.7578e-01 8.0207e-02 4.8029e-02 3.3970e-02 2.5190e-02 1.4146e-02 8.7640e-03
3.9552e-02 4.0156e-02 4.7744e-02 7.0002e-02 1.0423e-01 6.3645e-02 2.6072e-02 1.0073e-02 5.7015e-03 3.9706e-03 3.0799e-03 2.4586e-03 1.9475e-03
5.7615e-02 5.8551e-02 6.9537e-02 1.0315e-01 1.5369e-01 8.5754e-02 3.4948e-02 1.3235e-02 7.4561e-03 5.1422e-03 3.9625e-03 3.0756e-03 2.3818e-03
8.8654e-02 9.0148e-02 1.0656e-01 1.5943e-01 2.3709e-01 1.7880e-01 9.3773e-02 4.3482e-02 2.5781e-02 1.8103e-02 1.3532e-02 8.3080e-03 5.4866e-03
1.4663e-01 1.4666e-01 1.5079e-01 2.0973e-01 3.6741e-01 4.0600e-01 2.2666e-01 1.0621e-01 6.0493e-02 4.0591e-02 2.7627e-02 1.5775e-02 1.0108e-02
2.5879e-01 2.6218e-01 2.9393e-01 4.4118e-01 6.8033e-01 4.2207e-01 2.1696e-01 9.8559e-02 5.9580e-02 4.2461e-02 3.1758e-02 1.7188e-02 1.0348e-02
1.8660e-01 1.8976e-01 2.2164e-01 3.3391e-01 4.9448e-01 3.2551e-01 1.7158e-01 7.9403e-02 4.7523e-02 3.3404e-02 2.4882e-02 1.3984e-02 8.6735e-03
3.6405e-02 3.6800e-02 4.1797e-02 6.1297e-02 1.1227e-01 1.1367e-01 4.7875e-02 1.6730e-02 7.6522e-03 4.3201e-03 2.4319e-03 1.7331e-03 1.5014e-03
5.3413e-02 5.4278e-02 6.4667e-02 9.5028e-02 1.3319e-01 7.1504e-02 2.9659e-02 1.1942e-02 6.9028e-03 4.8841e-03 3.8192e-03 2.9566e-03 2.2570e-03
8.1357e-02 8.2708e-02 9.7668e-02 1.4628e-01 2.1938e-01 1.6792e-01 8.8687e-02 4.0851e-02 2.4174e-02 1.6920e-02 1.2598e-02 7.7971e-03 5.1810e-03
